precinct_id,avg_biss,avg_abughazaleh,avg_fine,avg_simmons,avg_amiwala,avg_huynh,avg_andrew,pct_biss_wins,pct_fine_wins,pct_abughazaleh_wins
CITY OF CHICAGO:WARD 50 PRECINCT 23,28.230442,17.222717,27.332663,6.7122173,6.9552255,3.6274199,9.9194193,50.047001,45.866001,4.0869999
COOK:8200042,36.984844,20.92181,19.10535,9.3202324,4.926641,4.3303938,4.4107485,93.536003,3.3340001,3.1300001
COOK:8200009,30.792257,14.107889,32.172897,5.6893711,5.2222495,2.9633689,9.0519333,42.938,56.554001,.50800002
COOK:9600066,37.18557,20.772476,19.372375,9.3034639,5.0451274,4.0175061,4.3035746,93.787003,3.467,2.7460001
COOK:8200029,38.197941,18.827532,22.261574,8.2980957,4.3376994,3.7398548,4.3374934,93.501999,5.3530002,1.145
COOK:9600054,29.680719,15.725759,29.588226,6.4739876,5.875206,3.3584478,9.2979603,48.317001,50.119999,1.563
COOK:9600047,29.106125,16.592203,28.043736,6.8243775,6.245111,3.6860144,9.502593,51.491001,45.759998,2.7490001
COOK:8200034,38.150162,19.925386,19.744894,9.3036823,4.5077648,4.2216158,4.1464491,95.242996,3.066,1.691
COOK:8200024,37.150055,20.900784,18.970837,9.5234041,5.0084834,4.163702,4.2829103,93.928001,3.099,2.973
COOK:8300045,33.45845,17.911913,24.614361,8.307291,4.263381,3.7880785,7.6563001,78.933998,18.649,2.4170001
COOK:9600012,29.311348,16.569435,28.142206,6.7858667,6.1405859,3.6734502,9.3772459,51.933998,45.441002,2.625
COOK:8200061,37.012749,20.917019,19.361872,9.1699972,5.0812874,4.0728579,4.384099,93.373001,3.576,3.0510001
COOK:8300042,33.341866,17.104485,26.543226,7.6440492,4.163065,3.4379601,7.76511,73.237999,25.055,1.707
COOK:8200057,37.601738,20.33655,19.571115,9.273531,4.6989703,4.2465019,4.2714953,94.455002,3.296,2.2490001
COOK:8300020,27.620687,23.319078,24.05744,8.4393978,5.3358841,3.5604725,7.6672325,49.319,29.375,21.306
COOK:8200050,34.793835,18.138838,26.625469,8.4110403,4.2534447,3.8099904,3.9672692,77.596001,20.774,1.63
CITY OF CHICAGO:WARD 50 PRECINCT 10,29.18523,15.874265,28.68478,6.6099601,6.0929012,3.7632184,9.7896795,49.543999,48.403999,2.052
COOK:8200046,37.351349,20.278652,20.101828,9.0957689,4.8248625,4.0127645,4.3350167,93.861,3.8180001,2.3210001
COOK:8200058,37.176643,20.434412,20.171221,8.9395981,4.9325161,3.9509647,4.394659,93.348,4.1789999,2.473
COOK:7502002,35.593521,25.623138,15.074567,9.711009,6.094213,4.0333424,3.8702052,85.824997,1.3150001,12.86
COOK:8300043,27.59907,24.055309,22.650875,8.8217468,5.4422321,3.8271489,7.603343,50.365002,23.531,26.104
COOK:8300008,36.046715,18.308769,20.600012,8.6408596,4.2057962,3.7764781,8.4215879,92.393997,5.8649998,1.7410001
COOK:8200023,37.630936,20.650637,19.309088,9.0973692,4.9614801,4.0912528,4.2590423,94.502998,3.0710001,2.4260001
CITY OF CHICAGO:WARD 50 PRECINCT 06,30.184967,27.959328,16.620621,10.288105,6.4243736,4.3343663,4.1882505,56.932999,4.152,38.915001
COOK:8200041,37.161949,20.613775,19.809805,9.0139694,4.9787278,4.0355344,4.3859701,93.569,3.7739999,2.6570001
COOK:9600044,29.322027,16.29707,28.65486,6.7238951,6.0999713,3.5295703,9.3725576,50.098,47.667999,2.234
CITY OF CHICAGO:WARD 48 PRECINCT 20,30.112535,28.343422,16.770159,10.04166,6.0195928,4.4655342,4.2469878,54.938999,4.158,40.903
COOK:7502003,35.644222,25.372257,15.811317,9.2747622,6.2407041,3.7257028,3.9309521,86.453003,1.617,11.93
COOK:8200035,37.74765,20.285023,19.487209,9.3271236,4.6819506,4.2386684,4.2325773,94.739998,3.112,2.148
COOK:8200019,29.17408,15.724937,29.231415,6.6112657,6.0679131,3.5166085,9.6737623,47.591999,50.611,1.7970001
COOK:9600008,37.594193,20.646297,19.119457,9.1990299,4.7781587,4.3643379,4.2978697,94.622002,2.9389999,2.4389999
COOK:8300031,33.590885,18.365131,23.938276,8.2330599,4.4723849,3.7814407,7.6192474,80.805,16.458,2.737
CITY OF CHICAGO:WARD 50 PRECINCT 21,36.300827,22.775446,17.801165,9.3931303,5.2804332,4.1766667,4.272388,91.333,2.724,5.9429998
COOK:8200033,37.478409,20.68679,19.052109,9.3915215,4.8457999,4.2826061,4.26296,94.485001,2.8970001,2.618
COOK:9600065,29.439665,15.69891,29.049234,6.7965407,5.8301754,3.6692286,9.5163469,49.327999,48.959,1.7130001
COOK:7509001,35.148972,26.394478,14.207139,9.7652006,6.4641461,4.1029634,3.9169016,82.941002,1.0549999,16.004
COOK:7505003,35.39019,26.272566,14.269298,9.7550592,6.3006225,4.1621046,3.8500841,83.906998,1.034,15.059
COOK:8200007,34.637367,19.075596,25.327261,8.5098095,4.6619706,3.7942498,3.9939594,80.175003,17.398001,2.427
COOK:8300053,33.525005,17.057146,26.176556,7.9620824,4.0164342,3.6059904,7.6565228,75.190002,23.236,1.574
CITY OF CHICAGO:WARD 48 PRECINCT 09,29.59963,29.732252,15.972764,9.8619881,6.3538508,4.3358674,4.1433468,46.832001,3.1589999,50.008999
COOK:9600040,29.090172,16.184971,28.600288,6.7613292,6.1788597,3.6041064,9.580617,49.349998,48.339001,2.3110001
COOK:8200039,37.505909,20.344273,19.679379,9.3096323,4.7836866,4.1071711,4.2698212,94.336998,3.4100001,2.253
COOK:8300006,33.604332,17.326586,25.448647,8.2099104,4.0214677,3.7814238,7.6073961,77.513,20.695999,1.791
COOK:8200015,37.453789,21.04409,18.821657,9.2005701,5.1742506,4.0643978,4.2411571,94.294998,2.842,2.8629999
COOK:8200044,37.308456,20.640137,19.399595,9.2409019,4.8414135,4.2346992,4.3349752,93.978996,3.365,2.6559999
CITY OF CHICAGO:WARD 48 PRECINCT 02,27.397108,34.094414,13.444121,9.6804686,7.6356883,3.8254168,3.923069,21.158001,.94499999,77.897003
COOK:9600046,29.55205,15.780725,29.261152,6.6723948,5.8500037,3.5192142,9.3645411,49.049999,49.202,1.748
COOK:8000072,29.26247,16.198729,28.684046,6.7079625,6.1179886,3.5633557,9.4653835,49.810001,47.966,2.224
COOK:8200014,37.573242,20.248959,19.759775,9.2474861,4.6932778,4.189651,4.2875667,94.322998,3.503,2.174
COOK:7504002,34.958012,26.496723,14.204621,9.7639303,6.6045737,4.0147967,3.9573343,82.144997,1.073,16.782
COOK:8100032,29.055685,26.968584,15.85753,10.33705,5.9211192,4.2556071,7.6046219,56.191002,4.4910002,39.318001
COOK:8300052,27.679075,23.056883,24.367373,8.5504303,5.1890869,3.5648253,7.5923138,49.290001,30.916,19.794001
COOK:9600061,29.634962,15.928964,28.950424,6.729588,5.8102679,3.6234396,9.3221893,50.313,47.818001,1.869
CITY OF CHICAGO:WARD 40 PRECINCT 05,29.687101,28.903786,15.458513,10.617285,6.7982788,4.3992219,4.1356831,51.236,3.05,45.714001
COOK:8100003,29.500652,25.745012,17.375513,9.591198,5.7398815,4.0023699,8.0452433,61.824001,6.684,31.492001
COOK:9600070,36.993668,20.806395,19.563765,9.159687,5.0517182,4.0391631,4.3857126,93.279999,3.7479999,2.9719999
COOK:9600060,37.583389,19.687187,20.709751,9.0720844,4.4358521,4.1554322,4.3562379,93.882004,4.3390002,1.779
COOK:8300037,36.080643,19.231741,18.856068,9.0363712,4.3890724,4.134346,8.2719364,93.650002,3.9790001,2.3710001
COOK:9600021,29.283308,15.797593,29.100262,6.7660193,5.9507055,3.5671027,9.5349407,48.619999,49.549999,1.83
COOK:8200003,34.766155,18.453199,26.123409,8.4758539,4.3551583,3.8475826,3.9785378,78.648003,19.48,1.872
CITY OF CHICAGO:WARD 48 PRECINCT 29,30.590479,26.953093,18.066555,9.7975941,6.2316723,4.0635896,4.296834,61.681999,6.073,32.244999
COOK:8100017,29.411562,26.072954,16.974281,9.7499466,5.7823634,4.0748715,7.9341226,60.564999,6.0479999,33.387001
COOK:8000029,29.563656,16.222525,28.637293,6.7013636,5.9440079,3.6246464,9.3063889,51.196999,46.581001,2.2219999
COOK:8200017,37.498394,20.072601,20.360659,9.0614481,4.7577319,3.9480884,4.3004723,93.891998,4.0869999,2.0209999
COOK:8200016,37.021149,20.841228,19.555836,9.1061192,5.1055341,3.9994178,4.3707275,93.196999,3.7290001,3.0739999
